unix_time,landmark,meas_d,meas_theta,true_d,true_theta,err_d,err_theta
1764635606.1379979,cyan,5.069521170279787,-0.4804939951914632,5.212311654908816,-0.4362510693647095,-0.1427904846290291,-0.0442429258267536
1764635606.3437772,cyan,5.166742434814523,-0.44962584933340793,5.212203795765895,-0.376314384104778,-0.04546136095137143,-0.07331146522862975
1764635606.472409,cyan,5.176655858233097,-0.41544549259715524,5.212106261271666,-0.3338682857713082,-0.03545040303856872,-0.0815772068258469
1764635606.4958072,cyan,5.206886532869251,-0.38668789684735183,5.212086844801853,-0.3254078911232634,-0.005200311932601842,-0.061280005724088316
1764635606.5644042,cyan,5.1486798045529625,-0.35790254113436065,5.212036860115419,-0.3035133892823918,-0.06335705556245674,-0.0543891518519688
1764635606.7080328,cyan,5.159205959506392,-0.31098592576186873,5.211950838153617,-0.25581181038460876,-0.05274487864722488,-0.0551741153772598
1764635606.827751,cyan,5.189240322414596,-0.26770289405626296,5.211900378303001,-0.20832136256965006,-0.02266005588840514,-0.05938153148661307
1764635606.978807,cyan,5.222202270522037,-0.2161857517464504,5.211832481942097,-0.15419476286174305,0.010369788579939865,-0.06199098888470722
1764635607.4853647,cyan,5.170983054316897,-0.16512821378536827,5.211742802418649,-0.14487718218482692,-0.04075974810175165,-0.020251031600541314
1764635607.5254006,cyan,5.152046768358955,-0.14137790426888988,5.2117486322896145,-0.14681363160980165,-0.059701863930659904,0.0054357273409118
1764635607.6361334,cyan,5.153960829761795,-0.1439637300080193,5.21176698215298,-0.14283307922275412,-0.05780615239118525,-0.001130650785265086
1764635607.7836194,cyan,5.2545977298046695,-0.14340978646840644,5.211791826132475,-0.14440919979776057,0.04280590367219439,0.0009994133293540486
1764635608.1337676,cyan,5.153410439485275,-0.14322511890965697,5.211276811309848,-0.14411906784675432,-0.05786637182457355,0.0008939489370973774
1764635608.1690314,cyan,5.154098866604202,-0.14414835810301072,5.211012774974848,-0.14381229661566675,-0.05691390837064603,-0.0003360614873439971
1764635608.27511,cyan,5.2544577030045945,-0.14322511890965697,5.210124961996848,-0.1433622276732276,0.044332741007746534,0.00013710876357064805
1764635608.3002813,cyan,5.154098866604202,-0.14414835810301072,5.209854862066314,-0.14349563587092184,-0.055755995462112296,-0.0006527222320888981
1764635608.4350047,cyan,5.153410439485275,-0.14322511890965697,5.20881216501332,-0.14389406481343947,-0.055401725528045453,0.0006689459037825252
1764635608.52872,cyan,5.255159628694481,-0.14414835810301072,5.20784480445826,-0.14360510796353143,0.047314824236221575,-0.0005432501394793121
1764635608.7626374,cyan,5.153410439485275,-0.14322511890965697,5.203861146069478,-0.1444124605494359,-0.05045070658420325,0.0011873416397789605
1764635608.862637,cyan,5.154098866604202,-0.14414835810301072,5.198875408413552,-0.14731229145428815,-0.04477654180934998,0.0031639333512774037
1764635609.1762826,cyan,5.257579661738936,-0.1472855121097742,5.176270578611967,-0.14726319292744572,0.08130908312696938,-2.2319182328534026e-05
1764635609.206856,cyan,5.1560498224610996,-0.14673210705435802,5.1731937319170065,-0.14739450380188224,-0.017143909455906936,0.0006623967475243298
1764635609.271225,cyan,5.1554888951517,-0.14599409286045972,5.1665881846998865,-0.14721568468200186,-0.011099289548186064,0.001221591821542134
1764635609.7870154,cyan,5.156896477589683,-0.14783882630758285,5.0884803812217205,-0.1496563315289574,0.06841609636796253,0.0018175052213744713
1764635609.802045,cyan,5.157749446948733,-0.14894518086532746,5.086007711662683,-0.1497497471700049,0.0717417352860501,0.000804566304677401
1764635609.9199626,cyan,5.060433419647813,-0.14894518086532746,5.067921811024611,-0.15080089255268625,-0.00748839137679802,0.0018557116873587631
1764635610.1843297,cyan,5.0661706803356505,-0.15631137192767613,5.024257339246169,-0.17431914091555,0.04191334108948119,0.018007768987873707
1764635610.2347386,cyan,5.076711508903678,-0.16897753263791576,5.015798640547714,-0.17835452886926761,0.0609128683559641,0.009376996231351686
1764635610.3680973,cyan,5.0841896188771045,-0.17739158721348905,4.994878888710342,-0.18849343746575187,0.08931073016676283,0.011101850252262846
1764635610.4662483,cyan,4.996706606806055,-0.18468762303935563,4.979810610186403,-0.19685823137356628,0.016895996619651577,0.012170608334210797
1764635610.6758704,cyan,5.007927743986016,-0.19631973775310893,4.933218431488175,-0.2199188427484109,0.0747093124978413,0.023599104995302156
1764635610.7021315,cyan,4.925757357807361,-0.20518951245103223,4.927905869694412,-0.22263468865630642,-0.002148511887051008,0.017445176205274304
1764635610.7786765,cyan,4.9412868897186835,-0.21977968055957098,4.913113129279278,-0.23005546992737758,0.02817376043940545,0.01027578936780671
1764635610.932491,cyan,4.865009919693041,-0.23052658596014503,4.887598002610055,-0.24229865192775524,-0.02258808291701353,0.011772065967610157
1764635611.03966,cyan,4.791958621566268,-0.24121955197448444,4.862218921059829,-0.25444196680755926,-0.07026029949356083,0.013222414833074847
1764635611.1295717,cyan,4.892836166622134,-0.253623812906532,4.843106859799431,-0.26347304264847704,0.04972930682270249,0.00984922974194502
